numero_simulacao,nome_modelo,qtd_sucesso_alegria,qtd_sucesso_raiva,total_alegria,total_raiva,tempo_total_ms,acuracia_alegria,acuracia_raiva,acuracia_geral,precisao_alegria,recall_alegria,f1_alegria,precisao_raiva,recall_raiva,f1_raiva,precisao_macro,recall_macro,f1_macro
1,google_vision_emotion,14,0,50,50,105352.32019424438,0.28,0.0,0.14,0.21875,0.28,0.2456140350877193,0.0,0.0,0.0,0.109375,0.14,0.12280701754385966
2,google_vision_emotion,10,0,50,50,102797.55401611328,0.2,0.0,0.1,0.16666666666666666,0.2,0.1818181818181818,0.0,0.0,0.0,0.08333333333333333,0.1,0.0909090909090909
3,google_vision_emotion,17,1,50,50,103303.3971786499,0.34,0.02,0.18,0.25757575757575757,0.34,0.29310344827586204,0.029411764705882353,0.02,0.023809523809523815,0.14349376114081996,0.18000000000000002,0.15845648604269294
4,google_vision_emotion,13,3,50,50,103417.24228858948,0.26,0.06,0.16,0.21666666666666667,0.26,0.2363636363636364,0.075,0.06,0.06666666666666665,0.14583333333333334,0.16,0.15151515151515152
5,google_vision_emotion,15,2,50,50,104752.29120254517,0.3,0.04,0.17,0.23809523809523808,0.3,0.26548672566371684,0.05405405405405406,0.04,0.045977011494252866,0.14607464607464607,0.16999999999999998,0.15573186857898486
6,google_vision_emotion,10,3,50,50,115382.77196884155,0.2,0.06,0.13,0.17543859649122806,0.2,0.18691588785046728,0.06976744186046512,0.06,0.06451612903225805,0.1226030191758466,0.13,0.12571600844136266
7,google_vision_emotion,14,2,50,50,94324.66411590576,0.28,0.04,0.16,0.22580645161290322,0.28,0.25,0.05263157894736842,0.04,0.04545454545454545,0.1392190152801358,0.16,0.14772727272727273
8,google_vision_emotion,14,0,50,50,97896.50011062622,0.28,0.0,0.14,0.21875,0.28,0.2456140350877193,0.0,0.0,0.0,0.109375,0.14,0.12280701754385966
9,google_vision_emotion,9,2,50,50,96653.91302108765,0.18,0.04,0.11,0.15789473684210525,0.18,0.16822429906542055,0.046511627906976744,0.04,0.04301075268817204,0.102203182374541,0.11,0.10561752587679629
10,google_vision_emotion,15,6,50,50,94202.07810401917,0.3,0.12,0.21,0.2542372881355932,0.3,0.2752293577981651,0.14634146341463414,0.12,0.13186813186813184,0.2002893757751137,0.21,0.20354874483314847
11,google_vision_emotion,11,3,50,50,94422.96385765076,0.22,0.06,0.14,0.1896551724137931,0.22,0.2037037037037037,0.07142857142857142,0.06,0.06521739130434782,0.13054187192118227,0.14,0.13446054750402575
12,google_vision_emotion,8,2,50,50,95177.77109146118,0.16,0.04,0.1,0.14285714285714285,0.16,0.15094339622641512,0.045454545454545456,0.04,0.0425531914893617,0.09415584415584416,0.1,0.09674829385788841
13,google_vision_emotion,17,3,50,50,98279.98805046082,0.34,0.06,0.2,0.265625,0.34,0.2982456140350877,0.08333333333333333,0.06,0.06976744186046512,0.17447916666666666,0.2,0.18400652794777642
14,google_vision_emotion,18,4,50,50,107680.65309524536,0.36,0.08,0.22,0.28125,0.36,0.3157894736842105,0.1111111111111111,0.08,0.09302325581395349,0.19618055555555555,0.22,0.204406364749082
15,google_vision_emotion,14,5,49,50,89307.93809890747,0.2857142857142857,0.1,0.1919191919191919,0.23728813559322035,0.2857142857142857,0.25925925925925924,0.125,0.1,0.11111111111111112,0.1811440677966102,0.19285714285714284,0.18518518518518517
16,google_vision_emotion,19,3,50,50,116392.66085624696,0.38,0.06,0.22,0.2878787878787879,0.38,0.3275862068965517,0.08823529411764706,0.06,0.07142857142857141,0.1880570409982175,0.22,0.19950738916256155
17,google_vision_emotion,19,1,50,50,87549.82805252075,0.38,0.02,0.2,0.27941176470588236,0.38,0.3220338983050848,0.03125,0.02,0.024390243902439022,0.15533088235294118,0.2,0.1732120711037619
18,google_vision_emotion,8,1,50,50,89286.42201423645,0.16,0.02,0.09,0.14035087719298245,0.16,0.14953271028037382,0.023255813953488372,0.02,0.02150537634408602,0.0818033455732354,0.09,0.08551904331222993
19,google_vision_emotion,14,2,50,50,93795.33290863036,0.28,0.04,0.16,0.22580645161290322,0.28,0.25,0.05263157894736842,0.04,0.04545454545454545,0.1392190152801358,0.16,0.14772727272727273
20,google_vision_emotion,11,5,49,50,86782.24301338196,0.2244897959183673,0.1,0.1616161616161616,0.19642857142857142,0.22448979591836735,0.2095238095238095,0.11627906976744186,0.1,0.1075268817204301,0.15635382059800665,0.16224489795918368,0.15852534562211978
21,google_vision_emotion,19,3,50,50,114321.10786437988,0.38,0.06,0.22,0.2878787878787879,0.38,0.3275862068965517,0.08823529411764706,0.06,0.07142857142857141,0.1880570409982175,0.22,0.19950738916256155
22,google_vision_emotion,21,2,50,50,93792.50192642212,0.42,0.04,0.23,0.30434782608695654,0.42,0.3529411764705883,0.06451612903225806,0.04,0.04938271604938271,0.1844319775596073,0.22999999999999998,0.2011619462599855
23,google_vision_emotion,18,2,50,50,105165.90905189514,0.36,0.04,0.2,0.2727272727272727,0.36,0.3103448275862069,0.058823529411764705,0.04,0.04761904761904763,0.1657754010695187,0.19999999999999998,0.17898193760262726
24,google_vision_emotion,13,0,49,50,243045.00818252563,0.2653061224489796,0.0,0.1313131313131313,0.20634920634920634,0.2653061224489796,0.23214285714285715,0.0,0.0,0.0,0.10317460317460317,0.1326530612244898,0.11607142857142858
25,google_vision_emotion,12,4,50,50,1118830.3940296173,0.24,0.08,0.16,0.20689655172413793,0.24,0.22222222222222224,0.09523809523809523,0.08,0.08695652173913043,0.15106732348111657,0.16,0.15458937198067635
26,google_vision_emotion,15,4,50,50,92185.21285057068,0.3,0.08,0.19,0.2459016393442623,0.3,0.2702702702702703,0.10256410256410256,0.08,0.08988764044943821,0.17423287095418244,0.19,0.18007895535985424
27,google_vision_emotion,15,1,50,50,90857.90395736694,0.3,0.02,0.16,0.234375,0.3,0.2631578947368421,0.027777777777777776,0.02,0.023255813953488372,0.1310763888888889,0.16,0.14320685434516522
28,google_vision_emotion,15,0,50,50,97047.59883880617,0.3,0.0,0.15,0.23076923076923078,0.3,0.2608695652173913,0.0,0.0,0.0,0.11538461538461539,0.15,0.13043478260869565
29,google_vision_emotion,11,0,50,50,121011.58499717712,0.22,0.0,0.11,0.18032786885245902,0.22,0.1981981981981982,0.0,0.0,0.0,0.09016393442622951,0.11,0.0990990990990991
30,google_vision_emotion,17,2,50,50,128185.2879524231,0.34,0.04,0.19,0.26153846153846155,0.34,0.2956521739130435,0.05714285714285714,0.04,0.04705882352941177,0.15934065934065936,0.19,0.17135549872122763
